"ncomponentsReference" "ncomponentsSubset" "maxFeatures" "scale.center" "scale.scale" "project_all" "mean_sil_score" "stab_knn_acc" "stab_knn_acc_bal" "stab_rmse" "time_integration" "time_imputation"
"elapsed40" 10 50 1740 TRUE TRUE TRUE 0.410758103789102 0.869417862838915 0.82041197827053 0.955271523952561 2.17000000000007 55.7020000000002
"elapsed41" 15 50 1740 TRUE TRUE TRUE 0.452099952679111 0.882775119617225 0.847413370576559 0.954533079801561 2.14800000000014 55.9700000000003
"elapsed42" 20 50 1740 TRUE TRUE TRUE 0.432858832987776 0.878787878787879 0.842684678107353 0.954311173208201 2.23900000000049 56.7979999999998
"elapsed43" 30 50 1740 TRUE TRUE TRUE 0.449943966725428 0.874003189792663 0.838115198083046 0.953739153239989 2.35899999999947 55.451
"elapsed44" 40 50 1740 TRUE TRUE TRUE 0.447961292152935 0.871610845295056 0.847557703809656 0.953495290757718 2.53799999999956 55.585
"elapsed45" 50 50 1740 TRUE TRUE TRUE 0.433087097168089 0.869218500797448 0.842555754364609 0.953430541995808 2.65700000000015 55.7399999999998
"elapsed46" 60 50 1740 TRUE TRUE TRUE 0.427657372526749 0.859250398724083 0.826861897283266 0.953488017280014 2.96799999999985 54.7669999999998
"elapsed47" 70 50 1740 TRUE TRUE TRUE 0.42880453114265 0.857057416267943 0.826613383019637 0.953621014776709 2.96799999999985 55.0779999999995
"elapsed48" 10 60 1740 TRUE TRUE TRUE 0.410758103789102 0.869417862838915 0.82041197827053 0.955271523952561 2.125 55.4620000000004
"elapsed49" 15 60 1740 TRUE TRUE TRUE 0.452099952679111 0.882775119617225 0.847413370576559 0.954533079801561 2.16199999999935 54.2060000000001
"elapsed50" 20 60 1740 TRUE TRUE TRUE 0.432858832987776 0.878787878787879 0.842684678107353 0.954311173208201 2.22900000000027 57.6790000000001
"elapsed51" 30 60 1740 TRUE TRUE TRUE 0.449943966725428 0.874003189792663 0.838115198083046 0.953739153239989 2.39400000000023 55.2470000000003
"elapsed52" 40 60 1740 TRUE TRUE TRUE 0.447961292152935 0.871610845295056 0.847557703809656 0.953495290757718 2.51900000000023 55.1890000000003
"elapsed53" 50 60 1740 TRUE TRUE TRUE 0.433087097168089 0.869218500797448 0.842555754364609 0.953430541995808 2.66399999999976 55.5309999999999
"elapsed54" 60 60 1740 TRUE TRUE TRUE 0.427657372526749 0.859250398724083 0.826861897283266 0.953488017280014 2.88100000000031 55.5919999999996
"elapsed55" 70 60 1740 TRUE TRUE TRUE 0.42880453114265 0.857057416267943 0.826613383019637 0.953621014776709 2.96399999999994 56.482
"elapsed56" 10 70 1740 TRUE TRUE TRUE 0.410758103789102 0.869417862838915 0.82041197827053 0.955271523952561 2.11799999999948 54.9229999999998
"elapsed57" 15 70 1740 TRUE TRUE TRUE 0.452099952679111 0.882775119617225 0.847413370576559 0.954533079801561 2.14100000000053 55.3530000000001
"elapsed58" 20 70 1740 TRUE TRUE TRUE 0.432858832987776 0.878787878787879 0.842684678107353 0.954311173208201 2.28099999999995 54.9489999999996
